id_pos,amount,avg_daily_savings_normalized,time_saving_coef_normalized,matched_score_normalized,active_days_coef_normalized,lat,lng,dynamic_score
1748,50.0,1.672927712355,0.870259481037924,0.3333333333333333,0.5714,16.7569318,-93.1292353,1572.4981227604185
1824,150.0,0.3994525510204,0.8383233532934131,0.3333333333333333,3.5714,24.0122916,-104.677735,1017.951688240446
1788,120.0,0.6747328422147,0.3255710800620981,0.3333333333333333,3.2143,24.0248409,-104.6608131,1026.749905197168
251,152.0,0.0368065120509,0.564426702151253,0.0,1.7143,-34.7322945,-58.6034129,305.6969377849556
360,95.0,0.0908624819384,0.4752716788644933,0.0,0.1429,-34.7078683,-58.3939497,154.62486333032865
248,152.0,0.1996131332424,0.6110002217786648,0.0,1.9286,-34.6795029,-58.5599145,417.509788023613
504,125.0,0.1444818655337,0.5251718784652917,0.0,1.4286,-46.4413058,-67.5177912,328.1500946832233
269,152.0,0.1825820645748,0.6855178531825239,0.0,1.5,-34.5227822,-58.4740653,412.2606231944648
324,190.0,0.7203700893851,0.8079396762031492,0.0,1.0,-34.5443899,-58.7087315,622.7793085846749
246,152.0,0.2402643929059,0.6081170991350633,0.0,1.9286,-34.6792495,-58.5592254,441.44219604701766
604,100.0,1.6014568781354,0.8139277001552452,0.3333333333333333,1.2143,-31.4129789,-64.1860173,1233.4986043482124
624,60.0,0.1204902666763,0.6719893546240854,0.0,1.2857,-38.984368,-67.8215422,352.84677875275213
307,152.0,0.2243802540067,0.7023730317143491,0.0,3.2857,-34.4299133,-58.5713027,584.1282566053349
477,250.0,0.2427603394062,0.4814814814814814,0.3333333333333333,0.7857,-41.1341674,-71.3044264,347.9819249248196
569,175.0,1.1695609802933,0.7227766688844532,0.0,0.6429,-34.9343329,-57.9237592,784.6327508343256
344,114.0,0.0030706006006,0.7919716123308937,0.0,0.6429,-33.3323969,-60.2157224,239.8616992269488
196,190.0,1.2477150564103,0.6837436238633845,0.0,2.5,-34.6998542,-58.5037762,1018.369665683212
462,100.0,0.6261148796236,0.701264138389887,0.0,0.7857,-39.027358,-67.5655218,530.1282591736974
671,180.0,0.0430531523469,0.2639166112220004,0.0,0.3571,-37.878724,-67.7942339,135.06741614790508
620,100.0,1.690157139771,0.743845642049235,0.3333333333333333,1.0,-31.4240456,-64.1931652,1351.3894967255803
464,100.0,0.286463058976,0.701264138389887,0.0,0.9286,-39.0292906,-67.5702309,382.2669395988274
345,190.0,0.1603388138138,0.5491239742736751,0.0,2.0714,-34.6199672,-58.6338076,396.419450713545
552,125.0,0.2577000552075,0.6872920825016633,0.0,2.2143,-34.7479766,-58.5852632,493.4327884755077
617,100.0,0.2816087335878,0.7904191616766469,0.3333333333333333,1.0714,-31.4181683,-64.1896464,489.24110006447273
104,95.0,0.2009281435897,0.7241073408738079,0.0,0.9286,-34.5515504,-58.4988136,343.5102145480766
228,190.0,1.0368349e-06,0.0,0.0,1.3571,-34.3477365,-58.7930408,136.014847525355
91,150.0,0.6149684176183,0.6919494344644046,0.3333333333333333,3.6429,-34.6413271,-58.3767505,840.1165419333993
621,100.0,2.6708885840474,0.7159015302727878,0.3333333333333333,1.2857,-31.4114186,-64.1849668,1721.450601630571
467,100.0,0.086454176611,0.5338212463960967,0.0,1.4286,-39.0282494,-67.5751144,307.0990773857194
233,182.4,0.2852539072214,0.5118651585717455,0.0,1.2143,-34.7048865,-58.3871008,406.8225062847291
465,100.0,0.0081610258995,0.5544466622310933,0.0,1.0,-39.0352409,-67.5713891,230.3653144705937
232,182.4,0.2700166810139,0.5544466622310933,0.0,0.8571,-34.682167,-58.370539,349.06520617362366
649,100.0,0.2618139916468,0.701264138389887,0.0,1.2143,-37.9894089,-57.5783846,437.5541382757874
708,180.0,0.3117829256165,0.7411842980705259,0.6666666666666667,2.2143,-34.9109086,-57.9481725,632.3781203097969
235,182.4,0.1048302056432,0.5409181636726548,0.0,1.5,-34.68541,-58.374525,313.455434202571
255,95.0,0.0,0.0,0.0,1.7143,-34.7497377,-58.5907365,171.43
385,212.5,0.1201856383253,0.7595919272565981,0.0,0.0714,-37.1434089,-56.8835082,267.1559734234546
470,250.0,0.0927031996352,0.5118651585717455,0.0,2.1429,-31.528348,-68.5667583,373.3916570652392
89,114.0,0.4000306688418,0.7056997116877357,0.0,0.6429,-34.6799295,-58.4042509,427.5799638417572
113,95.0,0.2785055356172,0.7709026391661122,0.3333333333333333,0.2143,-34.5525977,-58.4750343,356.2235511789458
468,100.0,0.0409530727924,0.5309381237524948,0.0,0.7143,-39.0359645,-67.5656132,216.296454992079
126,114.0,0.0275387692308,0.6653359946773121,0.0,0.1429,-34.6872336,-58.4048866,204.28574237877243
254,152.0,0.0903794815825,0.5728542914171657,0.0,1.7143,-34.5195413,-58.4745416,339.0262506002581
236,182.4,0.0388847441416,0.5544466622310933,0.0,1.1429,-34.6945542,-58.3734926,257.25758704638866
618,100.0,0.0618285206788,0.4311377245508982,0.3333333333333333,1.5714,-31.4246767,-64.1905869,359.0553216304229
234,182.4,0.4933487900526,0.5544466622310933,0.0,0.2857,-34.6920102,-58.37679,424.4408870507387
841,180.0,0.2082730323757,0.2605899312486139,0.0,0.4286,-37.877491,-67.7882584,219.9296353350378
253,152.0,0.0,0.0,0.0,1.7857,-34.6770213,-58.5555204,178.57
466,100.0,0.0586348050915,0.5544466622310933,0.0,0.7857,-39.0276026,-67.5517851,234.87953177259365
603,100.0,11.1147064052711,0.8086050121978268,0.0,1.9286,-31.3927365,-64.1843229,5653.19472851406
249,152.0,0.1834588085493,0.5799512086937235,0.0,2.0,-34.7656017,-58.617455,406.73442756742975
557,100.0,0.0831849811574,0.6522510534486583,0.0,0.7143,-36.2359994,-61.1224476,289.1965874823117
247,152.0,0.1457154342883,0.6247504990019959,0.0,2.0,-34.6820708,-58.5554757,402.4912081282842
311,133.0,0.4130218214206,0.7110223996451541,0.0,1.2857,-34.7054712,-58.3919231,468.9807715145508
252,152.0,0.0797274579354,0.5870481259702818,0.0,2.0714,-34.5282783,-58.4924067,371.3893534938864
250,152.0,0.2160001819009,0.6047904191616769,0.0,2.2857,-34.7476557,-58.5886255,466.4229808632904
710,250.0,0.6643073587908,0.5185185185185186,0.0,3.2143,-37.1072943,-56.8649214,751.5986773877138
619,100.0,1.5902918772953,0.8063872255489024,0.0,1.5,-31.3483215,-64.2582674,1320.6535519668655
476,250.0,0.2073659897746,0.5198491905078733,0.3333333333333333,2.5,-41.133543,-71.3079526,504.683706849328
463,100.0,0.1793172991527,0.7127966289642937,0.0,1.0,-39.0249059,-67.5872797,346.10939485222383
733,100.0,0.0117922434368,0.7762253271235307,0.0,0.9286,-33.246849,-61.3584574,387.3709964748661
213,190.0,0.0014914051282,0.5544466622310933,0.0,2.2857,-34.4233266,-58.5801951,347.25817972840866
1750,50.0,0.7827678571429,0.9434464404524284,0.3333333333333333,0.1429,16.7569318,-93.1292353,905.270985778124
1291,50.0,0.2906936674437,0.6653359946773121,0.0,5.9286,20.2514886,-99.1853638,904.9812572326276
1283,50.0,0.0434755244755,0.616101131071191,0.6666666666666667,3.5714,20.9981438,-89.6066783,621.1177025585799
1409,100.0,0.0285149153138,0.5870481259702818,0.0,0.5,18.9589296,-97.9060216,412.5572223892164
1749,50.0,0.2785024466312,0.9241516966067864,0.3333333333333333,0.3571,16.7569318,-93.1292353,831.0237981766306
1036,150.0,0.1303747241198,0.4435573297848747,1.0,0.5,-27.4694096,-58.8267906,417.98177700508495
1576,78.75,0.004991292517,0.5544466622310933,0.0,1.6429,19.214207,-99.098584,450.71057853041873
2013,400.0,3.1582842176871,0.8412064759370148,0.0,0.6429,19.3946559,-99.0104491,2161.535000122048
1575,78.75,0.3541909183673,0.6653359946773121,0.0,0.9286,22.024921,-102.315249,668.4319329693474
2432,600.0,0.9823921071021,0.6522510534486583,0.3333333333333333,0.5,31.8584852,-116.6029233,736.0268563328599
1981,0.0,0.0711589554052,0.7391882900864939,0.0,0.0714,-33.9140644,-64.3893627,218.1613248371388
1982,0.0,0.0106263161548,0.3697050343756929,0.0,0.0714,-33.9140644,-64.3893627,114.9564331092986
2044,100.0,0.0388424900957,0.6336216455976935,0.0,0.7857,-34.6034156,-58.8643393,233.36175439950367
2065,150.0,0.0527420715009,0.6220891550232868,0.0,0.3571,-31.1825207,-64.311455,218.90534583391235
2056,140.0,0.0476080325369,0.0,0.0,0.8571,21.1275896,-101.6091615,386.884893729405
2075,50.0,0.3475423318082,0.9394544244843648,0.0,0.5714,19.4440364,-99.0990201,588.681888361413
2078,150.0,0.0062836807321,0.2772233311155467,0.3333333333333333,4.1429,21.0172835,-89.6320666,567.9673921535878
2076,200.0,0.0118613794272,0.7391882900864939,0.0,0.5,19.6858283,-99.1251037,234.8143979473388
1577,78.75,0.0796427554652,0.6848525171878466,0.3333333333333333,0.7857,19.2194041,-98.9935558,401.9717084004927
